회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
KG모빌리언스,46440,소프트웨어 개발 및 공급업,유무선전화결제서비스,2004-12-14,12월,박철순,http://www.mobilians.co.kr,서울특별시
KMH,122450,텔레비전 방송업,방송채널사업 및 방송송출서비스,2011-05-25,12월,한찬수,http://www.ikmh.co.kr,서울특별시
KPX생명과학,114450,기초 의약물질 및 생물학적 제제 제조업,의약품 중간체 등,2009-12-22,12월,양준영,http://www.kpxls.com/,전라남도
MP그룹,65150,음·식료품 및 담배 도매업,외식 프랜차이즈사업 및 식자재 유통,2007-07-18,12월,김흥연,http://www.mrpizza.co.kr,서울특별시
PN풍년,24940,기타 금속 가공제품 제조업,압력솥,1995-01-04,12월,유재원,http://www.saekwang.co.kr,경기도
SBI핀테크솔루션즈,950110,소프트웨어 개발 및 공급업,전자결제대행 및 핀테크 비스,2012-12-17,03월,산몬지 마사타카,http://https://www.sbi-finsol.co.jp/kr/,일본
SCI평가정보,36120,기타 정보 서비스업,"신용조회,채권추심,신용조사",1999-12-07,12월,김현수,http://www.sci.co.kr,서울특별시
SGA솔루션즈,184230,소프트웨어 개발 및 공급업,보안솔루션,2013-12-20,12월,최영철,http://sgasol.kr,서울특별시
SM Life Design,63440,기록매체 복제업,"추첨식복권 제조, 일반출판 인쇄, CD ·DVD 복제",2002-05-30,12월,한세민,http://smlifedesign.com,경기도
SNK,950180,소프트웨어 개발 및 공급업,"IP 라이센스, 콘솔, 모바일 게임",2019-05-07,07월,"토야마 코이치, 갈지휘",http://www.snk-corp.co.jp,일본
감마누,192410,통신 및 방송 장비 제조업,기지국 안테나 및 인빌딩 안테나,2014-08-14,12월,"김상기, 위청드어 공동 대표이사",http://www.gammanu.com,경기도
게임빌,63080,소프트웨어 개발 및 공급업,모바일게임,2009-07-30,12월,송병준,http://www.gamevil.com,서울특별시
골든센츄리,900280,기타 금융업,트랙터용 휠 및 타이어,2016-10-19,12월,주승화,http://www.jsj-wheel.co.kr,케이맨 제도
광림,14200,자동차용 엔진 및 자동차 제조업,"전기공사용, 운송용, 환경용 특수차량 및 건설용 장비인 유압크레인을 생산·판매하는 제조업체",1993-07-07,12월,유갑종,http://www.kanglim.com,충청북도
광진실업,26910,1차 철강 제조업,마봉,1996-01-03,12월,"김영욱, 허정도",http://www.kjsteel.co.kr,부산광역시
국영지앤엠,6050,유리 및 유리제품 제조업,강화유리,1994-10-07,12월,최재원,http://www.kukyong.com,서울특별시
국일신동,60480,1차 비철금속 제조업,황동봉,2014-12-29,12월,"김연경,손인국 (각자대표)",http://www.kukilmetal.com,경기도
나노,187790,기초 화학물질 제조업,세라믹스제품,2014-05-08,12월,신동우,http://nanoin.com,경상북도
나노엔텍,39860,의료용 기기 제조업,의료기기 및 실험기기,2000-08-16,12월,정찬일,http://www.nanoentek.com,서울특별시
나우아이비캐피탈,293580,기타 금융업,"투자조합, PEF 결성 및 투자",2018-10-04,12월,이승원,http://www.nauib.com,서울특별시
네오위즈홀딩스,42420,소프트웨어 개발 및 공급업,지주사업,2000-06-27,12월,나성균,http://www.neowiz.com,경기도
넥스턴,89140,유리 및 유리제품 제조업,CNC자동선반,2006-11-01,12월,정영화,http://www.nexturn.co.kr,경기도
뉴로스,126870,일반 목적용 기계 제조업,터보블로워,2012-02-15,12월,김승우,http://www.neuros.co.kr,대전광역시
뉴지랩,214870,통신 및 방송 장비 제조업,CCTV 카메라,2015-10-13,12월,박대우,http://www.newglab.com,경기도
뉴파워프라즈마,144960,특수 목적용 기계 제조업,플라즈마 세정기(Remote Plasma Cleaning Generator),2016-11-30,12월,위순임,http://newpower.co.kr,경기도
뉴프라이드,900100,자동차 부품 및 내장품 판매업,인터모달 신생 및 재생타이어,2010-04-21,12월,Kenneth K. Lee,http://www.npcims.com,미국
대동금속,20400,금속 주조업,"농기계 주문제품 및 상용차 실린더 헤드, 경승용차 실린더 브록 외",1993-07-30,12월,이 성 태,http://www.daedongmetals.co.kr,대구광역시
대명코퍼레이션,7720,상품 종합 도매업,기업소모성자재 구매대행업,1994-01-06,12월,권광수,http://daemyungcorporation.com,강원도
대아티아이,45390,기타 전기장비 제조업,"EDMS(Enterprise Document Management System)-전사적문서관리시스템,KMS-지식경영시스템",2001-05-17,12월,최 진 우,http://www.daeati.co.kr,경기도
대유에이피,290120,자동차 신품 부품 제조업,자동차 스티어링휠,2018-12-07,12월,이석근,http://www.dayouap.co.kr,전라북도
대주전자재료,78600,전자부품 제조업,PDP격벽재료등,2004-12-10,12월,"임일지,임중규(각자대표)",http://www.daejoo.co.kr,경기도
대창솔루션,96350,"구조용 금속제품, 탱크 및 증기발생기 제조업",내연기관구조재(선박엔진용MBS),2007-12-17,12월,김대성,,부산광역시
덕우전자,263600,전자부품 제조업,카메라 모듈 부품,2017-08-28,12월,이준용,http://www.derkwoo.com,경상북도
동국S&C,100130,"구조용 금속제품, 탱크 및 증기발생기 제조업",Wind-Tower,2009-08-31,12월,양승주,http://www.dongkuksnc.co.kr,경상북도
동방선기,99410,선박 및 보트 건조업,선박용 배관 등,2009-11-10,12월,"김성호, 홍존근(각자 대표이사)",http://www.dongbangsm.co.kr,경상남도
동부스팩5호,281740,금융 지원 서비스업,기업인수합병,2017-12-12,12월,김성익,,서울특별시
동아엘텍,88130,특수 목적용 기계 제조업,LCD검사장비,2007-01-03,12월,"박재규, 김재평(각자대표이사)",http://www.dongaeltek.co.kr,경기도
동양피엔에프,104460,일반 목적용 기계 제조업,뉴메틱 컨베잉 시스템(분체이송시스템),2009-12-22,12월,조좌진,http://www.dypnf.com,서울특별시
디아이티,110990,특수 목적용 기계 제조업,평판디스플레이 검사장비,2018-08-07,12월,박종철,http://www.okdit.co.kr,경기도
디알텍,214680,의료용 기기 제조업,X-ray Detector,2015-04-20,12월,안성현,http://www.drtech.co.kr,경기도
디에스티,33430,특수 목적용 기계 제조업,몰리브덴 등,1998-05-25,12월,"김윤기, 양성문(각자 대표이사)",http://www.korid.co.kr,경상남도
디자인,227100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",스마트 액세서리(보조배터리 등),2018-11-15,12월,성재원,http://kokiripower.com,서울특별시
라이브플렉스,50120,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25,12월,김병진,http://www.liveplex.co.kr,서울특별시
로고스바이오,238120,사진장비 및 광학기기 제조업,"자동세포카운팅시스템, 생체조직투명화시스템, 디지털세포이미징시스템",2016-11-03,12월,정연철,,경기도
마이크로텍,227950,특수 목적용 기계 제조업,기업인수 및 합병,2015-11-18,06월,송성태,,경기도
매일유업,267980,낙농제품 및 식용빙과류 제조업,"유제품(우유, 분유, 발효유, 치즈, 음료 등)",2017-06-05,12월,김선희,http://www.maeil.com,서울특별시
매직마이크로,127160,전자부품 제조업,"LED 리드프레임, LED PKG",2015-11-19,12월,최재훈,http://www.magicmicro.co.kr,경기도
메디아나,41920,의료용 기기 제조업,"환자감시장치, 자동심장 제세동기(AED)",2014-10-07,12월,길문종,http://www.mediana.co.kr,강원도
메디프론,65650,기계장비 및 관련 물품 도매업,음반재킷 제작,2003-01-21,12월,"김영호, 노기선",http://medifon.com,서울특별시
메이슨캐피탈,21880,기타 금융업,리스수입,1996-09-02,03월,"신길환, 윤석준(각자 대표이사)",http://mason-capital.co.kr,전라북도
메타바이오메드,59210,의료용품 및 기타 의약 관련제품 제조업,"생체분해성봉합사,근관충전재",2008-04-15,12월,오석송,http://wwwlmeta-biomed.com,충청북도
모두투어,80160,여행사 및 기타 여행보조 서비스업,"항공권판매수수료,해외여행알선",2005-07-26,12월,우종웅,http://www.modetour.co.kr,서울특별시
모트렉스,118990,자동차 신품 부품 제조업,차량용 인포테인먼트,2017-08-04,12월,이형환,http://www.motrex.co.kr,경기도
미래SCI,28040,기타 비금속 광물제품 제조업,규사,1996-07-27,12월,박정수,http://www.miraesci.com,충청북도
미래에셋벤처투자,100790,기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,2019-03-15,12월,김응석,http://venture.miraeasset.co.kr,경기도
미투온,201490,소프트웨어 개발 및 공급업,소셜 카지노 게임,2016-10-10,12월,손창욱,http://www.me2on.com,서울특별시
바디텍메드,206640,의료용품 및 기타 의약 관련제품 제조업,기업인수합병,2014-12-29,12월,최의열,,강원도
베셀,177350,특수 목적용 기계 제조업,디스플레이 제조장비,2015-06-19,12월,서기만,http://www.vessel21.com,경기도
보라티알,250000,음·식료품 및 담배 도매업,"유가공품, 소스류, 파스타류",2017-06-08,12월,김대영,http://www.boratr.co.kr,서울특별시
브이원텍,251630,특수 목적용 기계 제조업,LCD/OLED 압흔검사기,2017-07-13,12월,김선중,http://www.v-one.co.kr,경기도
블루콤,33560,영상 및 음향기기 제조업,"마이크로스피커, 블루투스헤드셋, Linear 진동모터",2011-01-26,12월,김종규,http://www.bluec.co.kr,인천광역시
비아트론,141000,특수 목적용 기계 제조업,AMOLED 등 제조장비,2012-05-04,12월,김 형 준,http://www.viatrontech.com,경기도
비츠로셀,82920,일차전지 및 축전지 제조업,리튬1차전지,2009-10-28,12월,장승국,http://www.vitzrocell.com,충청남도
비트컴퓨터,32850,소프트웨어 개발 및 공급업,의료정보시스템,1997-07-04,12월,"전 진 옥, 조 현 정",http://www.bit.co.kr,서울특별시
빛샘전자,72950,전자부품 제조업,"전광판용 LED 모듈, LED 전광판, 광접속함체",2012-03-21,12월,강만준,http://www.vissem.com,경기도
삼륭물산,14970,"골판지, 종이 상자 및 종이용기 제조업",카톤팩,1992-12-29,12월,조홍로,http://www.srpack.com,경기도
삼양옵틱스,225190,사진장비 및 광학기기 제조업,디지털 카메라용 교환렌즈,2017-06-02,12월,황충현,http://www.syopt.co.kr,경상남도
삼영이엔씨,65570,통신 및 방송 장비 제조업,"GMDSS장비, GPS플로터 등",2003-01-21,12월,"황재우, 황혜경, 이선기(공동대표이사)",http://www.samyungenc.com,부산광역시
삼일,32280,도로 화물 운송업,운송및하역수입,1997-03-15,12월,"이정식, 안인수(각자대표)",http://www.samil31.co.kr,경상북도
삼일기업공사,2290,건물 건설업,도급공사,1992-11-30,12월,박종웅,http://www.samilenter.com,서울특별시
삼지전자,37460,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업",1999-12-16,12월,"박두진, 주동익",http://www.samjielec.co.kr,경기도
삼진,32750,통신 및 방송 장비 제조업,리모트컨트롤러,1997-07-14,12월,김승철,http://www.samjin.com,경기도
삼화네트웍스,46390,"영화, 비디오물, 방송프로그램 제작 및 배급업","시스템통합(SI), 시스템유지(SM)",2001-01-11,12월,"공동대표이사 안제현, 신상윤",http://www.shnetworks.co.kr,서울특별시
상상인인더스트리,101000,특수 목적용 기계 제조업,"선박용 크레인,선박구성부품,선박의장품,철구조물 제조/철판 도매/부동산 임대",2009-11-06,12월,김동원,http://www.dongnam-crane.co.kr,전라남도
상신이디피,91580,일차전지 및 축전지 제조업,2차전지부품,2007-05-23,12월,김일부,http://www.ssedp.co.kr,경기도
상아프론테크,89980,플라스틱제품 제조업,"LCD 부품, 사무기기 부품, PCB 부품, 2차전지 부품",2011-07-21,12월,이상원,http://www.sftc.co.kr,인천광역시
상지카일룸,42940,건물 건설업,"정보통신망 구축, DVR, ITS, 기타방송장비 등",2000-10-19,12월,최기보,http://www.sangji.co.kr/,서울특별시
서린바이오,38070,기타 전문 도매업,생명과학연구기기및시약,2005-10-25,12월,황을문,http://www.seoulin.co.kr,경기도
서울제약,18680,의약품 제조업,"정제,연질캅셀제,경질캅셀제,연고 및 크림제 등",2000-08-18,12월,황우성,http://www.seoulpharma.com,충청북도
서전기전,189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",수배전반,2014-12-24,12월,김한수,http://www.sjem.co.kr,경기도
서진시스템,178320,통신 및 방송 장비 제조업,"통신장비부품,휴대폰부품(메탈케이스 등)",2017-03-27,12월,전동규,http://seojinsystem.net,경기도
성우하이텍,15750,자동차 신품 부품 제조업,자동차범퍼,1995-11-04,12월,"이명근, 이문용(각자대표)",http://www.swhitech.co.kr,부산광역시
세명전기,17510,기타 금속 가공제품 제조업,"154kV, 345kV, 765kV 송전,변전,배전용 금구류, 섬유직기용 섹셔날 빔",1991-12-26,12월,"권재기, 권철현",http://www.semyung-elec.com,부산광역시
손오공,66910,기타 전문 도매업,"완구,게임,캐릭터수입수수료",2005-01-07,12월,김종완,http://www.sonokong.co.kr,경기도
슈펙스비앤피,58530,생활용품 도매업,"PCB생산 장비 제조(로더, 언로더, 레이업시스템 등)",2002-02-05,12월,윤강혁,http://www.supexbnp.com,경기도
스타플렉스,115570,플라스틱제품 제조업,"광고용 플렉스(조명용, 비조명용)",2010-01-27,12월,김세권,,충청북도
신라에스지,25870,음·식료품 및 담배 도매업,수산물도매,1995-07-07,12월,"박병언, 권기서",http://www.sisfood.co.kr,서울특별시
신영스팩5호,323280,금융 지원 서비스업,기업인수 및 합병,2019-06-24,12월,손길현,,서울특별시
씨큐브,101240,기초 화학물질 제조업,진주광택안료,2011-11-08,12월,장길완,http://www.cqv.co.kr,충청북도
씨트리,47920,자연과학 및 공학 연구개발업,"씨트리시메티딘정, 로자틴정",2015-12-21,12월,"김완주,김미정(각자 대표이사)",http://www.c-tri.co.kr,경기도
아가방컴퍼니,13990,생활용품 도매업,유아용 의류 및 용품,2002-01-17,12월,신상국,http://www.agabang.com,서울특별시
아모텍,52710,전자부품 제조업,"칩바리스터, 아몰퍼스코어",2003-08-01,12월,"김병규, 정준환 (각자 대표이사)",http://www.amotech.co.kr,인천광역시
아미코젠,92040,기타 식품 제조업,제약용 특수효소 및 효소기반 바이오신소재,2013-09-12,12월,신용철,http://www.amicogen.com,경상남도
아스타,246720,의료용품 및 기타 의약 관련제품 제조업,MALDI-TOF 질량분석기 기반 진단시스템,2017-03-20,12월,"조응준, 김양선 (각자대표이사)",http://www.astams.com,경기도
아이에이,38880,전자부품 제조업,자동차용 반도체,2000-04-27,12월,김동진,http://www.ia-inc.kr,서울특별시
액트로,290740,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비,2018-08-28,12월,하동길,http://www.actro.co.kr,경기도
앱클론,174900,의료용품 및 기타 의약 관련제품 제조업,항체의약품,2017-09-18,12월,이종서,http://www.abclon.co.kr,서울특별시
에스에스알,275630,소프트웨어 개발 및 공급업,"취약점 진단 솔루션, 모의해킹 컨설팅",2018-08-06,12월,"윤두식, 정진석",http://www.ssrinc.co.kr,서울특별시
에스엠,41510,오디오물 출판 및 원판 녹음업,"음반(CD,MC),연예 대리",2000-04-27,12월,"한세민, 남소영 (공동대표이사)",http://www.smtown.com,서울특별시
에스퓨얼셀,288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지",2018-10-15,12월,전희권,http://www.s-fuelcell.com/,경기도
에이스테크,88800,통신 및 방송 장비 제조업,"단말기용안테나,기지국용안테나",2006-03-27,12월,"구관영,홍익표(각자대표)",http://www.aceantenna.co.kr/kor/,인천광역시
에이치엘비,28300,선박 및 보트 건조업,"각종 산업용 밸브류, 제지·제철용기계,기타 특수목적용 산업기계",1996-07-27,12월,진양곤,http://www.hlbkorea.com,울산광역시
에프알텍,73540,통신 및 방송 장비 제조업,이동통신용중계기,2007-05-18,12월,남재국,http://www.frtek.co.kr,경기도
엔에이치스팩12호,273060,금융 지원 서비스업,기업인수합병,2017-08-07,12월,이병훈,,서울특별시
엔에이치스팩14호,319400,금융 지원 서비스업,기타 금융지원(SPAC),2019-05-08,12월,이준효,,서울특별시
엔지켐생명과학,183490,기초 의약물질 및 생물학적 제제 제조업,"EC-18(신약), 원료의약품",2018-02-21,12월,손기영,http://www.enzychem.co.kr,충청북도
엘티씨,170920,기초 화학물질 제조업,FPD(LCD/OLED) 및 반도체용 박리액,2013-10-08,12월,최호성,http://www.l-tech.co.kr,경기도
엠아이텍,179290,의료용 기기 제조업,비혈관 스텐트 및 체외충격파 쇄석기,2018-11-29,12월,박진형,http://www.mitech.co.kr,경기도
엠젠플러스,32790,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기",1997-06-26,12월,심영복,http://www.mgenplus.com,서울특별시
연우,115960,플라스틱제품 제조업,화장품 용기,2015-11-02,12월,기중현,http://www.yonwookorea.com,인천광역시
영화테크,265560,자동차 신품 부품 제조업,자동차 정션박스 등,2017-10-26,12월,엄준형,http://www.yhtec.com,충청남도
예림당,36000,"서적, 잡지 및 기타 인쇄물 출판업",무선가입자망 단말기 및 차량용핸즈프리,1999-11-30,12월,나춘호,http://yearim.co.kr,서울특별시
예스24,53280,무점포 소매업,"도서,음반/DVD,화장품",2008-05-07,12월,김석환,,서울특별시
오르비텍,46120,기타 과학기술 서비스업,"방사선안전관리, 항공기 정밀부품 제조 등",2010-06-15,12월,"각자대표 (강상원, 권동혁)",http://orbitech.co.kr,서울특별시
오리엔트정공,65500,자동차 신품 부품 제조업,"하우징, 리테이너베어링",2002-09-19,12월,장재진,http://www.orientpi.co.kr,경상북도
옴니텔,57680,소프트웨어 개발 및 공급업,"모바일방송, 모바일컨텐츠",2002-06-18,12월,김상우,http://www.omnitel.co.kr,서울특별시
옵티시스,109080,통신 및 방송 장비 제조업,광링크 모듈 등,2011-07-12,12월,신현국,http://www.opticis.com,경기도
우리기술투자,41190,기타 금융업,창업자에 대한 투자 및 융자,2000-06-09,12월,이정훈,http://www.wooricapital.com,서울특별시
우리손에프앤지,73560,"도축, 육류 가공 및 저장 처리업","양돈업, 도축업",2016-07-27,12월,"조창현,편명식(각자대표)",http://www.woorisonfng.co.kr,전라남도
우수AMS,66590,자동차 신품 부품 제조업,"엔진, 조향 및 기아변속기 부품",2003-02-12,12월,김선우,http://woosu.co.kr,경상남도
원익,32940,기계장비 및 관련 물품 도매업,반도체용석영,1997-07-18,12월,백상천,http://www.wonik.co.kr,경기도
원일특강,12620,1차 철강 제조업,특수강,1994-06-28,12월,신용문,http://www.wonilsteel.co.kr,경기도
유니테스트,86390,특수 목적용 기계 제조업,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)",2006-12-05,12월,김종현,http://www.uni-test.com,경기도
유에스티,263770,1차 철강 제조업,스테인레스강관,2017-04-06,12월,김종식,http://www.u-st.co.kr,경상북도
이글루시큐리티,67920,기타 정보 서비스업,"통합보안관리솔루션, 보안관제서비스",2010-08-04,12월,이득춘,http://www.igloosec.co.kr,서울특별시
이글벳,44960,기타 전문 도매업,"아바텍,아목사실린사 등",2000-11-16,12월,"강승조, 강태성(각자 대표이사)",http://www.eaglevet.com,충청남도
이노와이어리스,73490,통신 및 방송 장비 제조업,통신용 시험 및 계측장비,2005-02-04,12월,"정종태, 오창덕(공동대표)",http://www.innowireless.co.kr,경기도
이녹스,88390,그외 기타 운송장비 제조업,"FPCB소재,반도체PKG소재,디스플레이소재,OLED소재",2006-10-20,12월,박정진,http://www.innoxcorp.com,충청남도
이매진아시아,36260,"영화, 비디오물, 방송프로그램 제작 및 배급업",연예인 매니지먼트,1999-12-10,12월,안형조,http://www.wellmadestarment.com,서울특별시
이스트아시아홀딩스,900110,기타 금융업,"스포츠화, 스포츠의류",2010-04-23,12월,"정강위, 정소영",http://www.qiuzhi.com,홍콩
이엠텍,91120,전자부품 제조업,"마이크로스피커,리시버",2007-05-02,12월,정승규,http://www.em-tech.co.kr,경상남도
인선이엔티,60150,폐기물 처리업,건축폐기물처리,2002-06-14,12월,이준길,http://www.insun.co.kr,경기도
인크로스,216050,광고업,미디어렙서비스,2016-10-31,12월,이재원,,서울특별시
인트로메딕,150840,의료용 기기 제조업,"캡슐내시경, 일회용 연성내시경",2013-12-19,12월,조용석,http://www.intromedic.co.kr,서울특별시
인포바인,115310,전기 통신업,"휴대폰인증서보관서비스(UBIKey), 유선전화결제서비스(Vinepay)",2010-02-09,12월,권 성 준,http://www.infovine.co.kr,서울특별시
인포뱅크,39290,기타 정보 서비스업,"모바일메시징서비스,휴대폰단말기용S/W개발용역",2006-07-04,12월,박태형,http://www.infobank.net,경기도
자이글,234920,가정용 기기 제조업,적외선 가열 조리기,2016-09-06,12월,이진희,http://www.zaigle.com,서울특별시
정상제이엘에스,40420,일반 교습 학원,어학교육업,2000-08-01,12월,이종현,http://www.gojls.com,서울특별시
제넨바이오,72520,폐기물 처리업,휴대폰윈도우,2004-10-29,12월,"김성주, 정광원",http://gennbio.co.kr,대구광역시
제이스텍,90470,특수 목적용 기계 제조업,기계장비(디스플레이장비),2007-01-10,12월,"정재송, 최기열, 김두열 (각자 대표이사)",http://www.astjetec.co.kr,인천광역시
제일바이오,52670,의약품 제조업,동물사료첨가제,2002-01-24,12월,심광경,http://www.cheilbio.com,경기도
제일제강,23440,1차 철강 제조업,"연강선재, 경강선재, CHQ외",1994-10-07,12월,김홍택,http://www.jeilsteel.co.kr,경기도
줌인터넷,239340,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","줌닷컴, 뉴썸 등",2016-06-09,12월,김우승,http://www.zuminternet.com,서울특별시
지노믹트리,228760,의료용품 및 기타 의약 관련제품 제조업,암 조기진단 제품,2019-03-27,12월,안성환,http://genomictree.com/ko/,대전광역시
지니뮤직,43610,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",유무선 음악포털서비스,2000-07-20,12월,조훈,http://www.geniemusic.co.kr/,서울특별시
지와이커머스,111820,기타 정보 서비스업,"B2B 전자결제, B2B 공동구매",2010-06-18,12월,최종판,http://www.mp1.co.kr,서울특별시
참좋은여행,94850,여행사 및 기타 여행보조 서비스업,여행업,2007-04-30,12월,이상호,http://verygoodtourcompany.com,서울특별시
캐스텍코리아,71850,자동차 신품 부품 제조업,자동차용 터보차저 부품,2014-05-27,12월,윤상원,http://www.castec.co.kr,부산광역시
케이씨에스,115500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터시스템 통합 구축 및 철도 도로 교통인프라,2010-04-14,12월,이호성,,경상북도
케이씨피드,25880,동물용 사료 및 조제식품 제조업,사료,1995-07-07,12월,"정한식, 김희철(각자 대표이사)",http://www.kcfeed.co.kr,경상북도
케이알피앤이,60900,석유 정제품 제조업,석유 정제품 제조업,2002-09-17,12월,신동희(단독대표이사),http://www.pacificbio.co.kr,서울특별시
코데즈컴바인,47770,봉제의복 제조업,패션의류,2001-09-18,12월,박영환,http://www.codes-combine.co.kr,서울특별시
코디,80530,기타 화학제품 제조업,"LCD 검사부품(프로브유니트), LED 검사부품(프로브카드)",2010-01-05,12월,김종원,http://www.kodi-s.com,경기도
코렌,78650,사진장비 및 광학기기 제조업,카메라폰용 렌즈,2010-10-22,12월,지을렬,http://www.kolen.com,경기도
코메론,49430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","줄자, 냉간압연",2001-01-16,12월,강동헌,http://www.komelon.co.kr,부산광역시
코미팜,41960,의약품 제조업,동물약품,2001-10-30,12월,"양용진, 문성철(각자 대표이사)",http://www.komipharm.com,경기도
코웰패션,33290,"섬유, 의복, 신발 및 가죽제품 소매업","콘덴서,저항기",1997-10-13,12월,"최용석, 임종민",http://www.pilkor.co.kr,경기도
코위버,56360,통신 및 방송 장비 제조업,"가입가계 가입자계 광단국장치,SONs-51,OMS-155M,OCSU,E2 가입자 전송장비,SDS-2500 등",2001-12-04,12월,황인환,http://www.coweaver.co.kr,서울특별시
콜마비앤에이치,200130,기초 의약물질 및 생물학적 제제 제조업,기업인수합병,2014-07-23,12월,정화영,,대전광역시
쿠첸,225650,가정용 기기 제조업,전기밥솥,2015-09-04,12월,"이대희, 이재성",http://www.cuchen.com,서울특별시
크리스에프앤씨,110790,봉제의복 제조업,골프웨어,2018-10-01,12월,우진석,http://www.creas.co.kr,서울특별시
키움제5호스팩,311270,금융 지원 서비스업,기업인수합병,2018-12-26,12월,김학균,http://www.kiwoom.com/,서울특별시
타이거일렉,219130,전자부품 제조업,인쇄회로기판 제조업,2015-09-25,12월,이경섭,http://www.tigerelec.com,인천광역시
테고사이언스,191420,기초 의약물질 및 생물학적 제제 제조업,피부세포치료제,2014-11-06,12월,전세화,http://www.tegoscience.com,서울특별시
테스나,131970,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트,2013-10-22,12월,이종도,http://www.tesna.co.kr,경기도
투비소프트,79970,소프트웨어 개발 및 공급업,"MiPlatform, X Platform",2010-06-01,12월,조강희,http://www.tobesoft.com,서울특별시
티비씨,33830,텔레비전 방송업,"텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매",2010-11-29,12월,"최진민, 김정길",http://www.tbc.co.kr,대구광역시
파루,43200,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","온습도 조절기(에어쿨), 무인방제기(야호)",2000-07-19,12월,강문식,http://www.paru.co.kr,전라남도
파인디지털,38950,통신 및 방송 장비 제조업,"원격 RF 감시장치, 디지털 광 중계기, 노드분배기",2000-05-04,12월,김용훈,http://www.finedigital.com,경기도
파인테크닉스,106240,통신 및 방송 장비 제조업,"휴대폰부품, 소형LCD부품, LED조명기기",2009-03-16,12월,"김근우,이재규",http://www.finetechnix.com,경기도
패션플랫폼,225590,봉제의복 제조업,여성복,2015-10-05,12월,박원희,http://fashion-platform.co.kr,서울특별시
팬엔터테인먼트,68050,"영화, 비디오물, 방송프로그램 제작 및 배급업","방송영상물,음반",2006-07-07,12월,박영석,http://www.thepan.co.kr,서울특별시
팬젠,222110,의약품 제조업,"바이오시밀러 의약품 개발, 바이오의약품 개발 기술이전 서비스 등",2016-03-11,12월,"김영부, 윤재승",http://www.pangen.com,경기도
펌텍코리아,251970,플라스틱제품 제조업,화장품 용기,2019-07-04,12월,"이재신, 이도훈",http://www.pum-tech.co.kr,인천광역시
풍강,93380,기타 금속 가공제품 제조업,자동차용너트류,2007-06-01,08월,김진용,http://www.pungkang.co.kr,경기도
피에스텍,2230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",자동차부품,1991-01-04,12월,김 형 민,http://www.pstec.co.kr,서울특별시
필로시스헬스케어,57880,"섬유, 의복, 신발 및 가죽제품 소매업",셋톱박스(디지털위성방송수신기),2003-12-29,12월,최인환,http://www.topfield.co.kr,경기도
하나마이크론,67310,반도체 제조업,"반도체패키징,USB플래쉬드라이브",2005-10-11,12월,이동철,http://www.hanamicron.co.kr,충청남도
하나머스트제6호스팩,307160,금융 지원 서비스업,기업인수합병,2018-11-30,12월,류제일,,서울특별시
하림,136480,"도축, 육류 가공 및 저장 처리업","육계, 육계가공식품",2011-05-02,12월,"김홍국, 박길연, 윤석춘(각자대표)",,전라북도
하이록코리아,13030,1차 철강 제조업,관이음쇠,1989-12-15,12월,"문휴건, 문창환 각자대표이사",http://www.hy-lok.com,부산광역시
한국경제TV,39340,텔레비전 방송업,"광고수입, 협찬수입",2004-07-30,12월,이봉구,http://www.wownet.co.kr,서울특별시
한국알콜,17890,기타 화학제품 제조업,주정,1992-08-04,12월,"지용석,강성우,김정수,주성호",http://www.ka.co.kr,경기도
한국유니온제약,80720,의약품 제조업,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품",2018-07-26,12월,백병하,http://www.ukp.co.kr/,강원도
한국팩키지,37230,"골판지, 종이 상자 및 종이용기 제조업",카톤팩,1999-12-21,12월,"단재완, 이명신",http://www.hkpak.co.kr,경기도
한류AI센터,222810,소프트웨어 개발 및 공급업,보안솔루션 개발 외,2015-08-13,12월,"김대곤,장시영 (각자대표)",http://www.bionicsgene.co.kr,서울특별시
한화에이스스팩3호,264290,금융 지원 서비스업,기업인수합병,2017-05-02,12월,장승훈,http://hanwha-ace-spac3.co.kr,서울특별시
